Engine Fuel Type,Transmission Type,Driven_Wheels,Market Category,Vehicle Size,Vehicle Style,Engine HP,Engine Cylinders,Number of Doors,highway MPG,city mpg,MSRP,Popularity,,Make,Year
flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,184,4,4,36,23,27795,1013,,Chrysler,2016
flex-fuel (unleaded/E85),AUTOMATIC,all wheel drive,"Flex Fuel,Performance",Midsize,Sedan,295,6,4,29,18,31785,1013,,Chrysler,2016
flex-fuel (unleaded/E85),AUTOMATIC,all wheel drive,"Flex Fuel,Performance",Midsize,Sedan,295,6,4,29,18,29905,1013,,Chrysler,2016
flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,184,4,4,36,23,22490,1013,,Chrysler,2016
flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,184,4,4,36,23,27570,1013,,Chrysler,2016
flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,184,4,4,36,23,25690,1013,,Chrysler,2016
flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,184,4,4,36,23,24490,1013,,Chrysler,2016
flex-fuel (unleaded/E85),AUTOMATIC,all wheel drive,"Flex Fuel,Performance",Midsize,Sedan,295,6,4,28,18,29905,1013,,Chrysler,2017
flex-fuel (unleaded/E85),AUTOMATIC,all wheel drive,"Flex Fuel,Performance",Midsize,Sedan,295,6,4,28,18,31785,1013,,Chrysler,2017
flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,184,4,4,36,23,26685,1013,,Chrysler,2017
flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,184,4,4,36,23,22490,1013,,Chrysler,2017
flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,184,4,4,36,23,25690,1013,,Chrysler,2017
flex-fuel (unleaded/E85),AUTOMATIC,all wheel drive,"Flex Fuel,Performance",Midsize,Sedan,295,6,4,28,18,30900,1013,,Chrysler,2017
flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,184,4,4,36,23,27795,1013,,Chrysler,2017
flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,184,4,4,36,23,21995,1013,,Chrysler,2017
flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,184,4,4,36,23,24490,1013,,Chrysler,2017
regular unleaded,MANUAL,front wheel drive,Performance,Compact,Coupe,140,4,2,29,21,2000,2009,,Nissan,1996
regular unleaded,MANUAL,front wheel drive,Performance,Compact,Coupe,140,4,2,29,21,2000,2009,,Nissan,1997
regular unleaded,MANUAL,front wheel drive,Performance,Compact,Coupe,140,4,2,28,20,2073,2009,,Nissan,1998
regular unleaded,MANUAL,rear wheel drive,Performance,Compact,Coupe,155,4,2,26,19,3713,2009,,Nissan,1996
regular unleaded,MANUAL,rear wheel drive,Performance,Compact,Coupe,155,4,2,26,19,3520,2009,,Nissan,1996
regular unleaded,MANUAL,rear wheel drive,Performance,Compact,Coupe,155,4,2,26,19,3910,2009,,Nissan,1997
regular unleaded,MANUAL,rear wheel drive,Performance,Compact,Coupe,155,4,2,26,19,4182,2009,,Nissan,1997
regular unleaded,MANUAL,rear wheel drive,Performance,Compact,Coupe,155,4,2,26,19,4107,2009,,Nissan,1997
regular unleaded,MANUAL,rear wheel drive,Performance,Compact,Coupe,155,4,2,25,20,4299,2009,,Nissan,1998
regular unleaded,MANUAL,rear wheel drive,Performance,Compact,Coupe,155,4,2,25,20,4693,2009,,Nissan,1998
regular unleaded,MANUAL,rear wheel drive,Performance,Compact,Coupe,155,4,2,25,20,4107,2009,,Nissan,1998
regular unleaded,MANUAL,rear wheel drive,Luxury,Midsize,Wagon,114,4,4,26,19,2000,870,,Volvo,1991
regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Wagon,114,4,4,23,18,2000,870,,Volvo,1991
regular unleaded,MANUAL,rear wheel drive,Luxury,Midsize,Sedan,114,4,4,26,19,2000,870,,Volvo,1991
regular unleaded,MANUAL,rear wheel drive,Luxury,Midsize,Sedan,114,4,4,26,19,2000,870,,Volvo,1992
regular unleaded,MANUAL,rear wheel drive,Luxury,Midsize,Wagon,114,4,4,26,19,2000,870,,Volvo,1992
regular unleaded,MANUAL,rear wheel drive,Luxury,Midsize,Sedan,114,4,4,26,19,2000,870,,Volvo,1992
regular unleaded,MANUAL,rear wheel drive,Luxury,Midsize,Sedan,114,4,4,26,19,2000,870,,Volvo,1993
regular unleaded,MANUAL,rear wheel drive,Luxury,Midsize,Wagon,114,4,4,25,18,2000,870,,Volvo,1993
regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,4dr Hatchback,100,4,4,35,29,16020,586,,Mazda,2012
regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,4dr Hatchback,100,4,4,35,29,14530,586,,Mazda,2012
regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,4dr Hatchback,100,4,4,34,28,16860,586,,Mazda,2012
regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,4dr Hatchback,100,4,4,34,28,15370,586,,Mazda,2012
regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,4dr Hatchback,100,4,4,34,28,17050,586,,Mazda,2013
regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,4dr Hatchback,100,4,4,34,28,15560,586,,Mazda,2013
regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,4dr Hatchback,100,4,4,35,29,16210,586,,Mazda,2013
regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,4dr Hatchback,100,4,4,35,29,14720,586,,Mazda,2013
regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,4dr Hatchback,100,4,4,34,28,17050,586,,Mazda,2014
regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,4dr Hatchback,100,4,4,34,28,15560,586,,Mazda,2014
regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,4dr Hatchback,100,4,4,35,29,16210,586,,Mazda,2014
regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,4dr Hatchback,100,4,4,35,29,14720,586,,Mazda,2014
premium unleaded (required),AUTOMATIC,all wheel drive,"Hatchback,Luxury,Performance",Midsize,4dr Hatchback,300,6,4,30,20,47250,3916,,BMW,2015
premium unleaded (required),AUTOMATIC,all wheel drive,"Hatchback,Luxury",Midsize,4dr Hatchback,240,4,4,33,22,41850,3916,,BMW,2015
premium unleaded (required),AUTOMATIC,all wheel drive,"Hatchback,Luxury",Midsize,4dr Hatchback,240,4,4,33,22,41850,3916,,BMW,2015
premium unleaded (required),AUTOMATIC,all wheel drive,"Hatchback,Luxury",Midsize,4dr Hatchback,240,4,4,34,22,43000,3916,,BMW,2016
premium unleaded (required),AUTOMATIC,all wheel drive,"Hatchback,Luxury,Performance",Midsize,4dr Hatchback,300,6,4,30,20,49200,3916,,BMW,2016
premium unleaded (required),AUTOMATIC,all wheel drive,"Hatchback,Luxury,Performance",Midsize,4dr Hatchback,320,6,4,30,20,49650,3916,,BMW,2017
premium unleaded (required),AUTOMATIC,all wheel drive,"Hatchback,Luxury",Midsize,4dr Hatchback,248,4,4,33,23,43950,3916,,BMW,2017
premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Midsize,Wagon,241,4,4,33,22,41950,3916,,BMW,2015
premium unleaded (required),AUTOMATIC,rear wheel drive,"Luxury,High-Performance,Hybrid",Midsize,Sedan,335,6,4,33,25,50150,3916,,BMW,2015
premium unleaded (required),AUTOMATIC,rear wheel drive,"Luxury,Performance",Midsize,Sedan,240,4,4,35,23,37500,3916,,BMW,2015
premium unleaded (required),AUTOMATIC,rear wheel drive,"Luxury,High-Performance",Midsize,Sedan,300,6,4,32,21,43750,3916,,BMW,2015
diesel,AUTOMATIC,rear wheel drive,"Diesel,Luxury",Midsize,Sedan,180,4,4,45,32,39000,3916,,BMW,2015
premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,240,4,4,33,22,39500,3916,,BMW,2015
premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,240,4,4,33,22,39500,3916,,BMW,2015
premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,180,4,4,35,23,34950,3916,,BMW,2015
premium unleaded (required),AUTOMATIC,all wheel drive,"Luxury,Performance",Midsize,Sedan,300,6,4,30,20,45750,3916,,BMW,2015
diesel,AUTOMATIC,all wheel drive,"Diesel,Luxury",Midsize,Wagon,180,4,4,43,31,43450,3916,,BMW,2015
premium unleaded (required),AUTOMATIC,rear wheel drive,"Luxury,Performance",Midsize,Sedan,240,4,4,35,23,37500,3916,,BMW,2015
diesel,AUTOMATIC,all wheel drive,"Diesel,Luxury",Midsize,Sedan,180,4,4,43,31,41000,3916,,BMW,2015
premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,180,4,4,36,24,32950,3916,,BMW,2015
diesel,AUTOMATIC,all wheel drive,"Diesel,Luxury",Midsize,Sedan,180,4,4,40,30,41850,3916,,BMW,2016
premium unleaded (required),AUTOMATIC,all wheel drive,"Luxury,High-Performance",Midsize,Sedan,320,6,4,33,22,47800,3916,,BMW,2016
diesel,AUTOMATIC,rear wheel drive,"Diesel,Luxury",Midsize,Sedan,180,4,4,42,32,39850,3916,,BMW,2016
premium unleaded (required),AUTOMATIC,rear wheel drive,"Luxury,Performance",Midsize,Sedan,240,4,4,34,22,38350,3916,,BMW,2016
premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,240,4,4,34,22,40350,3916,,BMW,2016
premium unleaded (required),MANUAL,rear wheel drive,"Luxury,Performance",Midsize,Sedan,240,4,4,34,22,38350,3916,,BMW,2016
premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Midsize,Wagon,240,4,4,34,22,42650,3916,,BMW,2016
premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,180,4,4,36,24,33150,3916,,BMW,2016
premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,180,4,4,35,23,35150,3916,,BMW,2016
diesel,AUTOMATIC,all wheel drive,"Diesel,Luxury",Midsize,Wagon,180,4,4,40,30,44150,3916,,BMW,2016
premium unleaded (required),AUTOMATIC,rear wheel drive,"Luxury,High-Performance",Midsize,Sedan,320,6,4,33,22,45800,3916,,BMW,2016
premium unleaded (recommended),AUTOMATIC,rear wheel drive,"Luxury,Performance",Midsize,Sedan,248,4,4,34,23,38750,3916,,BMW,2017
premium unleaded (recommended),AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,180,4,4,34,23,35450,3916,,BMW,2017
premium unleaded (recommended),AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,180,4,4,35,23,33450,3916,,BMW,2017
premium unleaded (recommended),AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,248,4,4,33,23,40750,3916,,BMW,2017
diesel,AUTOMATIC,all wheel drive,"Diesel,Luxury",Midsize,Sedan,180,4,4,40,30,42250,3916,,BMW,2017
premium unleaded (recommended),AUTOMATIC,all wheel drive,Luxury,Midsize,Wagon,248,4,4,33,23,42950,3916,,BMW,2017
diesel,AUTOMATIC,rear wheel drive,"Diesel,Luxury",Midsize,Sedan,180,4,4,42,32,40250,3916,,BMW,2017
premium unleaded (recommended),AUTOMATIC,all wheel drive,"Luxury,Performance",Midsize,Sedan,320,6,4,31,21,49900,3916,,BMW,2017
premium unleaded (recommended),AUTOMATIC,rear wheel drive,"Luxury,High-Performance",Midsize,Sedan,320,6,4,32,21,47900,3916,,BMW,2017
diesel,AUTOMATIC,all wheel drive,"Diesel,Luxury",Midsize,Wagon,180,4,4,40,30,44450,3916,,BMW,2017
regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Large,Sedan,177,6,4,19,15,2232,617,,Mercedes-Benz,1991
regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Wagon,177,6,4,20,15,2000,617,,Mercedes-Benz,1991
regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,158,6,4,22,17,2000,617,,Mercedes-Benz,1991
regular unleaded,AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,177,6,4,20,15,2105,617,,Mercedes-Benz,1991
regular unleaded,AUTOMATIC,all wheel drive,Luxury,Midsize,Wagon,177,6,4,18,15,2199,617,,Mercedes-Benz,1991
regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,177,6,4,22,16,2000,617,,Mercedes-Benz,1991
regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Large,Sedan,177,6,4,19,15,2124,617,,Mercedes-Benz,1991
regular unleaded,MANUAL,rear wheel drive,"Luxury,Performance",Compact,Convertible,228,6,2,21,14,3552,617,,Mercedes-Benz,1991
regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Coupe,217,6,2,22,15,2179,617,,Mercedes-Benz,1991
diesel,AUTOMATIC,rear wheel drive,"Diesel,Luxury",Midsize,Sedan,121,5,4,30,23,2000,617,,Mercedes-Benz,1991
diesel,AUTOMATIC,rear wheel drive,"Diesel,Luxury",Midsize,Sedan,121,5,4,29,23,2000,617,,Mercedes-Benz,1992
regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Large,Sedan,228,6,4,17,14,2377,617,,Mercedes-Benz,1992
regular unleaded,MANUAL,rear wheel drive,"Luxury,Performance",Compact,Convertible,228,6,2,21,15,3814,617,,Mercedes-Benz,1992
regular unleaded,AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,177,6,4,19,15,2207,617,,Mercedes-Benz,1992
regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Wagon,177,6,4,20,15,2000,617,,Mercedes-Benz,1992
regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Coupe,217,6,2,21,15,2248,617,,Mercedes-Benz,1992
regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,177,6,4,22,16,2065,617,,Mercedes-Benz,1992
diesel,AUTOMATIC,rear wheel drive,"Diesel,Luxury",Large,Sedan,148,6,4,22,18,2547,617,,Mercedes-Benz,1992
regular unleaded,AUTOMATIC,all wheel drive,Luxury,Midsize,Wagon,177,6,4,18,15,2282,617,,Mercedes-Benz,1992
regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,158,6,4,23,18,2000,617,,Mercedes-Benz,1992
regular unleaded,AUTOMATIC,all wheel drive,Luxury,Midsize,Wagon,177,6,4,19,15,2544,617,,Mercedes-Benz,1993
regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Coupe,217,6,2,22,17,2397,617,,Mercedes-Benz,1993
diesel,AUTOMATIC,rear wheel drive,"Diesel,Luxury",Midsize,Sedan,121,5,4,30,23,2000,617,,Mercedes-Benz,1993
regular unleaded,MANUAL,rear wheel drive,"Luxury,Performance",Compact,Convertible,228,6,2,21,14,4174,617,,Mercedes-Benz,1993
regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,217,6,4,22,17,2187,617,,Mercedes-Benz,1993
diesel,AUTOMATIC,rear wheel drive,"Diesel,Luxury",Large,Sedan,148,6,4,22,18,2729,617,,Mercedes-Benz,1993
regular unleaded,AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,177,6,4,19,15,2433,617,,Mercedes-Benz,1993
regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,194,6,4,23,17,2247,617,,Mercedes-Benz,1993
regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Large,Sedan,228,6,4,18,14,2540,617,,Mercedes-Benz,1993
regular unleaded,MANUAL,front wheel drive,"Hatchback,Performance",Compact,2dr Hatchback,218,6,2,23,17,3941,436,,Mitsubishi,1997
regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,161,6,2,22,17,3295,436,,Mitsubishi,1997
regular unleaded,MANUAL,all wheel drive,"Hatchback,Factory Tuner,Performance",Compact,2dr Hatchback,320,6,2,22,16,6008,436,,Mitsubishi,1997
regular unleaded,MANUAL,all wheel drive,"Hatchback,Factory Tuner,Performance",Compact,2dr Hatchback,320,6,2,22,16,6710,436,,Mitsubishi,1998
regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,161,6,2,22,17,3701,436,,Mitsubishi,1998
regular unleaded,MANUAL,front wheel drive,"Hatchback,Performance",Compact,2dr Hatchback,218,6,2,23,17,4671,436,,Mitsubishi,1998
regular unleaded,MANUAL,front wheel drive,"Hatchback,Performance",Compact,2dr Hatchback,218,6,2,23,17,5306,436,,Mitsubishi,1999
regular unleaded,MANUAL,all wheel drive,"Hatchback,Factory Tuner,Performance",Compact,2dr Hatchback,320,6,2,22,16,7600,436,,Mitsubishi,1999
regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,161,6,2,22,17,4090,436,,Mitsubishi,1999
regular unleaded,AUTOMATIC,rear wheel drive,Performance,Large,Sedan,300,6,4,31,19,35070,1013,,Chrysler,2015
regular unleaded,AUTOMATIC,rear wheel drive,Performance,Large,Sedan,292,6,4,31,19,42395,1013,,Chrysler,2015
regular unleaded,AUTOMATIC,rear wheel drive,Performance,Large,Sedan,300,6,4,31,19,35595,1013,,Chrysler,2016
regular unleaded,AUTOMATIC,rear wheel drive,Performance,Large,Sedan,300,6,4,31,19,36090,1013,,Chrysler,2016
regular unleaded,AUTOMATIC,rear wheel drive,Performance,Large,Sedan,292,6,4,31,19,42690,1013,,Chrysler,2016
regular unleaded,AUTOMATIC,rear wheel drive,Performance,Large,Sedan,292,6,4,30,19,38635,1013,,Chrysler,2017
regular unleaded,AUTOMATIC,rear wheel drive,Performance,Large,Sedan,300,6,4,30,19,36170,1013,,Chrysler,2017
